ID,Urne,QR-Code,Categorie,1 - Favoriser la pratique sportive dans le 15e,2 - Un nouvel espace d escalade au centre sportif La Plaine,3 - Un 15e encore plus solidaire,4 - Un cafe des enfants,5 - Un coup de vert dans le 15e,6 - Des cours d ecoles renovees pour le bien-etre des ecoliers,7 - Des tableaux numeriques interactifs dans toutes les ecoles maternelles,8 - Un kit mobile multimedia pour la jeunesse,9 - Restaurons les decors de Saint-Christophe de Javel,10 - Le renouveau des Freres Voisin,11 - Un espace public pacifie et adapte a tous,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
204880,U15-099,2022AR15B,Valide,2,novote,1,1,novote,novote,novote,2,novote,novote,novote,4,2,2,0,0,7
204914,U15-099,2022AR15B,Valide,2,3,1,3,1,3,4,2,3,2,2,11,2,4,4,1,0
204928,U15-099,2022AR15B,Nul,novote,novote,novote,novote,novote,1,novote,novote,1,novote,novote,2,2,0,0,0,9
204936,U15-099,2022AR15B,Valide,1,3,2,2,2,4,4,3,3,3,2,11,1,4,4,2,0
204946,U15-099,2022AR15B,Valide,novote,novote,1,novote,3,1,novote,novote,novote,2,novote,4,2,1,1,0,7
204951,U15-099,2022AR15B,Valide,1,3,1,novote,1,novote,4,4,novote,novote,novote,6,3,0,1,2,5
204975,U15-099,2022AR15B,Valide,2,2,1,1,1,1,3,2,3,2,3,11,4,4,3,0,0
204996,U15-099,2022AR15B,Valide,novote,novote,1,novote,novote,1,novote,1,novote,1,1,5,5,0,0,0,6
205007,U15-099,2022AR15B,Nul,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,novote,1,1,0,0,0,10
205014,U15-099,2022AR15B,Valide,1,novote,1,novote,1,novote,novote,novote,novote,1,novote,4,4,0,0,0,7
205025,U15-099,2022AR15B,Valide,1,3,2,2,1,1,3,3,novote,2,3,10,3,3,4,0,1
205067,U15-099,2022AR15B,Valide,2,2,2,novote,novote,novote,1,1,novote,2,novote,6,2,4,0,0,5
205072,U15-099,2022AR15B,Valide,1,novote,1,novote,novote,novote,novote,novote,1,novote,1,4,4,0,0,0,7
205084,U15-099,2022AR15B,Valide,1,novote,2,novote,2,2,novote,novote,novote,novote,novote,4,1,3,0,0,7
205115,U15-005,2022AR15B,Valide,1,2,1,2,1,2,3,3,1,2,2,11,4,5,2,0,0
205119,U15-099,2022AR15B,Valide,1,2,2,3,2,1,1,2,2,1,1,11,5,5,1,0,0
205129,U15-005,2022AR15B,Valide,1,novote,novote,novote,novote,1,1,novote,novote,novote,1,4,4,0,0,0,7
205138,U15-099,2022AR15B,Valide,2,2,novote,2,1,2,2,3,1,novote,1,9,3,5,1,0,2
205145,U15-099,2022AR15B,Valide,novote,4,novote,4,1,novote,novote,novote,novote,novote,1,4,2,0,0,2,7
205158,U15-099,2022AR15B,Valide,2,1,1,novote,2,2,3,3,4,2,3,10,2,4,3,1,1
205194,U15-099,2022AR15B,Valide,1,1,1,2,1,3,3,3,1,3,1,11,6,1,4,0,0
205202,U15-099,2022AR15B,Valide,2,2,2,2,2,2,2,2,3,3,2,11,0,9,2,0,0
205204,U15-005,2022AR15B,Valide,novote,novote,1,1,1,novote,2,novote,4,novote,2,6,3,2,0,1,5
205214,U15-005,2022AR15B,Valide,novote,1,novote,novote,1,1,1,novote,novote,novote,1,5,5,0,0,0,6
205232,U15-099,2022AR15B,Valide,novote,novote,2,novote,2,novote,novote,2,novote,novote,2,4,0,4,0,0,7
205260,U15-005,2022AR15B,Valide,1,2,1,2,1,novote,2,1,3,3,1,10,5,3,2,0,1
205266,U15-099,2022AR15B,Valide,1,1,2,1,1,1,2,1,3,3,1,11,7,2,2,0,0
205286,U15-099,2022AR15B,Nul,novote,novote,2,novote,1,novote,novote,novote,novote,1,novote,3,2,1,0,0,8
205293,U15-099,2022AR15B,Valide,1,2,3,3,2,1,2,2,2,1,1,11,4,5,2,0,0
205300,U15-099,2022AR15B,Nul,novote,novote,novote,novote,1,novote,novote,1,novote,novote,novote,2,2,0,0,0,9
205306,U15-099,2022AR15B,Valide,novote,novote,novote,novote,1,novote,novote,1,1,novote,1,4,4,0,0,0,7
205312,U15-099,2022AR15B,Valide,1,1,2,1,1,1,1,1,1,3,2,11,8,2,1,0,0
205319,U15-099,2022AR15B,Valide,1,1,2,1,1,2,3,2,2,3,2,11,4,5,2,0,0
205330,U15-099,2022AR15B,Valide,1,novote,1,novote,1,novote,novote,novote,novote,novote,2,4,3,1,0,0,7
205354,U15-005,2022AR15B,Nul,1 2,2,2,2,1 2,1,2,2,1,2,1,9,3,6,0,0,0
205356,U15-099,2022AR15B,Valide,3,1,3,4,1,1,2,4,3,3,1,11,4,1,4,2,0
205363,U15-099,2022AR15B,Valide,1,3,1,3,1,3,3,3,3,2,1,11,4,1,6,0,0
205364,U15-099,2022AR15B,Valide,1,novote,2,2,1,2,4,2,novote,2,2,9,2,6,0,1,2
205370,U15-099,2022AR15B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,11
205377,U15-099,2022AR15B,Valide,4,4,2,4,2,3,4,4,3,4,2,11,0,3,2,6,0
205384,U15-099,2022AR15B,Valide,novote,1,1,4,1,novote,4,4,2,novote,novote,7,3,1,0,3,4
205402,U15-099,2022AR15B,Valide,novote,1,1,novote,1,novote,novote,novote,1,novote,novote,4,4,0,0,0,7
205412,U15-099,2022AR15B,Valide,1,1,1,1,4,1,1,2,novote,3,1,10,7,1,1,1,1
205413,U15-001,2022AR15A,Valide,2,novote,novote,novote,2,1,novote,novote,novote,2,novote,4,1,3,0,0,7
205420,U15-099,2022AR15B,Valide,2,2,1,3,1,1,3,3,3,3,2,11,3,3,5,0,0
205434,U15-099,2022AR15B,Valide,1,novote,1,novote,novote,1,2,novote,novote,novote,novote,4,3,1,0,0,7
205443,U15-099,2022AR15B,Valide,novote,1,novote,novote,1,1,1,1,novote,novote,1,6,6,0,0,0,5
205470,U15-099,2022AR15B,Valide,novote,novote,novote,3,novote,1,novote,novote,1,2,4,5,2,1,1,1,6
205474,U15-099,2022AR15B,Nul,novote,novote,4,novote,novote,novote,novote,novote,novote,novote,novote,1,0,0,0,1,10
205482,U15-001,2022AR15A,Nul,novote,novote,novote,1,1,novote,novote,novote,novote,novote,1,3,3,0,0,0,8
205488,U15-001,2022AR15A,Valide,1,novote,novote,novote,1,novote,novote,novote,novote,2,1,4,3,1,0,0,7
205494,U15-099,2022AR15B,Valide,1,novote,1,novote,1,2,3,novote,novote,novote,1,6,4,1,1,0,5
205516,U15-099,2022AR15B,Valide,1,novote,novote,novote,2,1,novote,novote,novote,novote,2,4,2,2,0,0,7
205528,U15-005,2022AR15B,Valide,1,novote,novote,novote,1,1,1,1,1,1,2,8,7,1,0,0,3
205537,U15-099,2022AR15B,Valide,2,4,3,3,3,2,3,2,2,2,3,11,0,5,5,1,0
205546,U15-099,2022AR15B,Valide,1,1,2,3,1,1,4,2,4,1,2,11,5,3,1,2,0
205567,U15-099,2022AR15B,Valide,1,1,1,2,1,1,1,1,4,1,2,11,8,2,0,1,0
205573,U15-099,2022AR15B,Nul,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,novote,1,1,0,0,0,10
205579,U15-099,2022AR15B,Valide,2,4,3,4,2,2,3,4,4,3,3,11,0,3,4,4,0
205582,U15-001,2022AR15A,Valide,1,novote,novote,novote,novote,2,novote,novote,1,novote,2,4,2,2,0,0,7
205587,U15-099,2022AR15B,Valide,novote,novote,1,novote,1,novote,novote,novote,novote,1,1,4,4,0,0,0,7
205590,U15-001,2022AR15A,Valide,1,novote,1,1,novote,1,1,novote,novote,novote,novote,5,5,0,0,0,6
205611,U15-099,2022AR15B,Valide,1,2,1,3,1,1,3,4,2,2,2,11,4,4,2,1,0
205619,U15-099,2022AR15B,Valide,2,2,2,2,1,1,2,2,1,4,2,11,3,7,0,1,0
205633,U15-099,2022AR15B,Valide,1,3,1,2,1,1,4,2,3,3,1,11,5,2,3,1,0
205637,U15-001,2022AR15A,Valide,1,novote,novote,novote,1,novote,novote,novote,1,novote,1,4,4,0,0,0,7
205647,U15-099,2022AR15B,Valide,1,1,1,1,1,1,2,2,4,3,3,11,6,2,2,1,0
205650,U15-099,2022AR15B,Valide,novote,novote,1,1,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,7
205659,U15-001,2022AR15A,Valide,1,novote,novote,novote,2,2,novote,novote,1,novote,novote,4,2,2,0,0,7
205668,U15-005,2022AR15B,Valide,4,3,2,2,3,3,3,3,3,2,2,11,0,4,6,1,0
205683,U15-001,2022AR15A,Nul,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,1,0,0,0,10
205692,U15-001,2022AR15A,Nul,novote,novote,novote,novote,novote,1,novote,novote,novote,1,novote,2,2,0,0,0,9
205693,U15-005,2022AR15B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,11
205703,U15-099,2022AR15B,Valide,novote,2,novote,1,1,1,novote,novote,novote,novote,novote,4,3,1,0,0,7
205711,U15-099,2022AR15B,Valide,1,novote,1,novote,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,7
205716,U15-099,2022AR15B,Valide,1,novote,novote,novote,1,1,novote,novote,1,novote,novote,4,4,0,0,0,7
205723,U15-099,2022AR15B,Valide,1,novote,1,novote,1,novote,1,novote,novote,novote,1,5,5,0,0,0,6
205728,U15-001,2022AR15A,Valide,1,4,3,3,1,1,2,2,3,4,2,11,3,3,3,2,0
205740,U15-010,2022AR15A,Valide,1,2,1,3,1,1,1,1,2,1,1,11,8,2,1,0,0
205748,U15-099,2022AR15B,Valide,1,1,novote,novote,novote,1,novote,1,novote,novote,novote,4,4,0,0,0,7
205749,U15-001,2022AR15A,Valide,novote,novote,novote,1,novote,1,1,novote,novote,novote,1,4,4,0,0,0,7
205755,U15-099,2022AR15B,Valide,novote,1,novote,novote,1,novote,novote,novote,1,novote,1,4,4,0,0,0,7
205762,U15-099,2022AR15B,Valide,novote,novote,novote,1,1,novote,1,novote,novote,novote,1,4,4,0,0,0,7
205770,U15-001,2022AR15A,Valide,3,2,3,2,1,2,3,4,3,3,2,11,1,4,5,1,0
205772,U15-010,2022AR15A,Valide,novote,novote,2,novote,1,2,novote,novote,novote,1,novote,4,2,2,0,0,7
205774,U15-099,2022AR15B,Nul,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,novote,1,1,0,0,0,10
205777,U15-001,2022AR15A,Valide,1,3,2,1,2,1,1,1,4,4,1,11,6,2,1,2,0
205781,U15-099,2022AR15B,Valide,4,3,3,4,2,4,4,2,1,4,4,11,1,2,2,6,0
205785,U15-001,2022AR15A,Valide,2,1,2,1,3,1,2,2,3,3,1,11,4,4,3,0,0
205791,U15-001,2022AR15A,Nul,novote,novote,novote,novote,1,novote,1,novote,novote,novote,1,3,3,0,0,0,8
205797,U15-001,2022AR15A,Valide,2,4,2,2,1,2,3,3,3,2,2,11,1,6,3,1,0
205804,U15-099,2022AR15B,Valide,1,3,2,novote,novote,1,2,3,1,2,novote,8,3,3,2,0,3
205811,U15-099,2022AR15B,Valide,novote,novote,novote,novote,1,1,novote,novote,1,1,novote,4,4,0,0,0,7
205815,U15-001,2022AR15A,Valide,2,novote,novote,novote,1,1,novote,novote,2,novote,novote,4,2,2,0,0,7
205819,U15-099,2022AR15B,Nul,2,2,2,novote,novote,novote,novote,novote,1 2,novote,novote,3,0,3,0,0,7
205834,U15-099,2022AR15B,Valide,3,3,3,4,4,3,4,4,3,4,4,11,0,0,5,6,0
205841,U15-099,2022AR15B,Nul,1 2,1 2,1 2,1 2,1 2,1 2,1 2,1 2,3,2,1 2,2,0,1,1,0,0
205850,U15-099,2022AR15B,Valide,1,novote,1,novote,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,7
205856,U15-005,2022AR15B,Valide,novote,1,novote,novote,novote,1,novote,1,novote,novote,1,4,4,0,0,0,7
205860,U15-001,2022AR15A,Valide,2,1,1,2,1,2,3,2,4,1,1,11,5,4,1,1,0
205887,U15-099,2022AR15B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,11
205890,U15-005,2022AR15B,Valide,2,3,2,3,1,2,3,1,3,2,2,11,2,5,4,0,0
205898,U15-001,2022AR15A,Valide,4,4,novote,1,1,1,4,novote,4,4,4,9,3,0,0,6,2
205904,U15-099,2022AR15B,Valide,2,novote,3,4,1,1,4,4,1,4,2,10,3,2,1,4,1
205909,U15-099,2022AR15B,Valide,3,1,2,3,4,1,3,2,2,2,2,11,2,5,3,1,0
205918,U15-005,2022AR15B,Valide,novote,novote,1,novote,1,1,novote,novote,1,novote,novote,4,4,0,0,0,7
205919,U15-001,2022AR15A,Valide,1,novote,novote,novote,1,novote,3,4,3,novote,novote,5,2,0,2,1,6
205949,U15-001,2022AR15A,Valide,novote,novote,1,novote,1,novote,novote,novote,1,1,novote,4,4,0,0,0,7
205953,U15-005,2022AR15B,Valide,1,2,2,1,1,1,1,1,1,2,2,11,7,4,0,0,0
205962,U15-099,2022AR15B,Nul,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,1,2,2,0,0,0,9
205963,U15-001,2022AR15A,Valide,novote,2,novote,2,novote,2,novote,novote,novote,novote,2,4,0,4,0,0,7
205984,U15-099,2022AR15B,Valide,2,2,1,1,1,1,2,2,2,2,2,11,4,7,0,0,0
205987,U15-001,2022AR15A,Valide,1,1,novote,novote,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,7
205988,U15-099,2022AR15B,Valide,1,2,1,3,1,2,2,3,2,1,1,11,5,4,2,0,0
205996,U15-099,2022AR15B,Nul,2,2,1 3,2,1,1,3,2,2,1,1,10,4,5,1,0,0
206027,U15-099,2022AR15B,Valide,2,2,3,3,1,1,2,3,2,3,2,11,2,5,4,0,0
206044,U15-005,2022AR15B,Valide,novote,novote,novote,1,1,novote,novote,1,novote,novote,1,4,4,0,0,0,7
206049,U15-099,2022AR15B,Valide,1,1,1,4,1,1,4,1,1,1,1,11,9,0,0,2,0
206056,U15-099,2022AR15B,Valide,3,novote,novote,novote,1,3,novote,novote,3,novote,novote,4,1,0,3,0,7
206063,U15-099,2022AR15B,Valide,novote,novote,novote,novote,novote,1,1,1,1,1,1,6,6,0,0,0,5
206066,U15-001,2022AR15A,Valide,2,4,3,3,1,3,4,4,3,3,2,11,1,2,5,3,0
206076,U15-099,2022AR15B,Valide,3,1,1,3,3,1,1,3,3,3,3,11,4,0,7,0,0
206090,U15-099,2022AR15B,Valide,1,3,1,2,1,1,2,1,3,2,1,11,6,3,2,0,0
206098,U15-099,2022AR15B,Valide,2,1,1,2,1,1,4,1,1,2,1,11,7,3,0,1,0
206101,U15-099,2022AR15B,Valide,4,4,novote,novote,3,2,4,4,4,3,1,9,1,1,2,5,2
206114,U15-099,2022AR15B,Valide,1,4,4,4,2,1,4,4,4,4,4,11,2,1,0,8,0
206126,U15-099,2022AR15B,Valide,2,3,1,3,1,2,4,3,3,3,1,11,3,2,5,1,0
206138,U15-099,2022AR15B,Nul,novote,novote,1,novote,1,novote,novote,1,novote,novote,novote,3,3,0,0,0,8
206145,U15-099,2022AR15B,Nul,novote,1,novote,novote,novote,novote,novote,1,novote,novote,novote,2,2,0,0,0,9
206148,U15-001,2022AR15A,Valide,novote,novote,novote,1,novote,novote,novote,1,1,novote,1,4,4,0,0,0,7
206157,U15-099,2022AR15B,Valide,1,novote,novote,novote,1,1,novote,1,novote,novote,novote,4,4,0,0,0,7
206161,U15-001,2022AR15A,Valide,novote,novote,novote,novote,1,1,novote,novote,1,novote,1,4,4,0,0,0,7
206167,U15-001,2022AR15A,Valide,1,novote,novote,novote,novote,1,novote,novote,1,novote,1,4,4,0,0,0,7
206171,U15-001,2022AR15A,Valide,novote,novote,1,novote,2,novote,novote,novote,novote,2,1,4,2,2,0,0,7
206174,U15-099,2022AR15B,Valide,1,3,1,1,1,3,1,3,1,1,1,11,8,0,3,0,0
206187,U15-099,2022AR15B,Valide,1,3,1,2,3,1,3,3,1,2,1,11,5,2,4,0,0
206192,U15-001,2022AR15A,Valide,1,novote,novote,novote,1,1,1,novote,novote,novote,novote,4,4,0,0,0,7
206205,U15-001,2022AR15A,Valide,1,novote,1,novote,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,7
206214,U15-099,2022AR15B,Valide,3,3,4,3,3,2,2,3,3,3,3,11,0,2,8,1,0
206218,U15-001,2022AR15A,Valide,1,novote,novote,novote,1,1,novote,novote,1,novote,novote,4,4,0,0,0,7
206225,U15-001,2022AR15A,Valide,1,3,2,2,1,1,1,2,3,3,2,11,4,4,3,0,0
206239,U15-001,2022AR15A,Valide,novote,novote,1,novote,1,novote,novote,novote,1,1,1,5,5,0,0,0,6
206242,U15-099,2022AR15B,Valide,novote,1,1,novote,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,7
206257,U15-099,2022AR15B,Valide,1,novote,novote,1,novote,2,novote,novote,4,novote,novote,4,2,1,0,1,7
206278,U15-099,2022AR15B,Valide,1,1,1,novote,novote,1,novote,novote,novote,1,novote,5,5,0,0,0,6
206291,U15-001,2022AR15A,Valide,1,novote,novote,novote,2,2,novote,novote,2,novote,novote,4,1,3,0,0,7
206298,U15-001,2022AR15A,Valide,novote,1,novote,1,novote,1,novote,novote,1,1,novote,5,5,0,0,0,6
206303,U15-099,2022AR15B,Valide,novote,novote,4,novote,1,novote,novote,novote,1,novote,1,4,3,0,0,1,7
206304,U15-010,2022AR15A,Valide,1,2,1,3,1,2,2,3,2,1,1,11,5,4,2,0,0
206305,U15-001,2022AR15A,Valide,1,1,novote,novote,1,1,novote,novote,1,1,1,7,7,0,0,0,4
206310,U15-001,2022AR15A,Valide,1,novote,novote,1,novote,1,novote,novote,novote,1,novote,4,4,0,0,0,7
206311,U15-099,2022AR15B,Valide,1,1,novote,novote,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,7
206317,U15-010,2022AR15A,Nul,1,novote,novote,1,novote,novote,novote,1 2 3 4,novote,novote,1,3,3,0,0,0,7
206338,U15-001,2022AR15A,Valide,novote,novote,1,1,1,1,2,1,novote,novote,novote,6,5,1,0,0,5
206339,U15-010,2022AR15A,Valide,1,3,2,2,1,2,3,3,novote,novote,2,9,2,4,3,0,2
206341,U15-099,2022AR15B,Nul,1,1,novote,1 2,1 2,novote,novote,1 2,1 2,novote,1 2,2,2,0,0,0,4
206346,U15-001,2022AR15A,Valide,1,novote,1,novote,1,1,novote,novote,novote,novote,1,5,5,0,0,0,6
206352,U15-099,2022AR15B,Valide,2,4,2,3,2,3,4,3,2,3,2,11,0,5,4,2,0
206358,U15-001,2022AR15A,Valide,novote,2,1,1,novote,1,novote,novote,novote,novote,novote,4,3,1,0,0,7
206379,U15-001,2022AR15A,Valide,1,novote,novote,novote,1,1,1,novote,novote,novote,novote,4,4,0,0,0,7
206381,U15-099,2022AR15B,Valide,2,novote,2,novote,novote,1,novote,novote,novote,novote,1,4,2,2,0,0,7
206384,U15-005,2022AR15B,Valide,novote,1,novote,novote,novote,1,1,1,novote,novote,novote,4,4,0,0,0,7
206395,U15-099,2022AR15B,Valide,1,1,novote,novote,novote,novote,2,2,novote,novote,novote,4,2,2,0,0,7
206407,U15-099,2022AR15B,Nul,novote,1,novote,novote,1,novote,novote,novote,novote,novote,novote,2,2,0,0,0,9
206416,U15-099,2022AR15B,Valide,2,2,novote,novote,2,novote,novote,2,novote,novote,novote,4,0,4,0,0,7
206418,U15-001,2022AR15A,Valide,1,2,2,novote,1,2,2,novote,novote,3,novote,7,2,4,1,0,4
206422,U15-001,2022AR15A,Valide,1,novote,1,novote,1,novote,novote,4,novote,novote,1,5,4,0,0,1,6
206426,U15-005,2022AR15B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,11
206446,U15-099,2022AR15B,Valide,4,3,1,1,1,1,2,1,3,2,1,11,6,2,2,1,0
206453,U15-099,2022AR15B,Valide,2,novote,2,1,1,novote,3,3,1,2,1,9,4,3,2,0,2
206462,U15-001,2022AR15A,Valide,1,novote,novote,novote,1,2,1,novote,2,3,novote,6,3,2,1,0,5
206467,U15-099,2022AR15B,Valide,1,1,4,4,4,2,2,3,1,4,4,11,3,2,1,5,0
206473,U15-099,2022AR15B,Valide,1,2,novote,novote,1,novote,4,novote,novote,novote,2,5,2,2,0,1,6
206479,U15-099,2022AR15B,Valide,2,2,1,1,1,1,4,4,1,1,1,11,7,2,0,2,0
206489,U15-099,2022AR15B,Valide,3,4,4,4,4,4,4,4,1,4,4,11,1,0,1,9,0
206503,U15-099,2022AR15B,Valide,2,novote,novote,novote,1,2,novote,novote,3,novote,novote,4,1,2,1,0,7
206515,U15-001,2022AR15A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,11
206516,U15-099,2022AR15B,Valide,2,2,1,1,1,2,3,2,2,3,3,11,3,5,3,0,0
206520,U15-099,2022AR15B,Valide,novote,1,novote,1,novote,1,novote,1,novote,novote,novote,4,4,0,0,0,7
206526,U15-099,2022AR15B,Valide,novote,3,novote,3,3,3,novote,novote,novote,novote,novote,4,0,0,4,0,7
206530,U15-001,2022AR15A,Valide,4,1,2,novote,2,2,2,novote,novote,novote,novote,6,1,4,0,1,5
206533,U15-099,2022AR15B,Valide,1,1,novote,novote,1,novote,novote,novote,novote,novote,1,4,4,0,0,0,7
206537,U15-001,2022AR15A,Valide,1,1,novote,1,novote,1,novote,1,novote,novote,novote,5,5,0,0,0,6
206540,U15-099,2022AR15B,Nul,1,novote,novote,1,novote,1,novote,novote,novote,novote,novote,3,3,0,0,0,8
206547,U15-099,2022AR15B,Valide,novote,novote,1,novote,1,1,novote,novote,novote,1,novote,4,4,0,0,0,7
206555,U15-005,2022AR15B,Valide,novote,novote,novote,novote,1,novote,1,novote,1,novote,1,4,4,0,0,0,7
206561,U15-099,2022AR15B,Nul,novote,novote,novote,novote,novote,1,novote,novote,novote,novote,1,2,2,0,0,0,9
206575,U15-099,2022AR15B,Valide,2,2,1,3,1,2,3,1,novote,2,2,10,3,5,2,0,1
206582,U15-099,2022AR15B,Valide,1,novote,1,novote,1,novote,novote,novote,novote,novote,1,4,4,0,0,0,7
206584,U15-005,2022AR15B,Nul,novote,novote,novote,novote,novote,1,novote,novote,1,novote,novote,2,2,0,0,0,9
206588,U15-099,2022AR15B,Valide,2,2,2,3,2,3,3,3,2,4,4,11,0,5,4,2,0
206606,U15-099,2022AR15B,Nul,novote,novote,novote,novote,novote,1,novote,novote,novote,novote,1,2,2,0,0,0,9
206614,U15-001,2022AR15A,Nul,2,3,1,1,1,1,2,2,1 3,3,1,10,5,3,2,0,0
206624,U15-099,2022AR15B,Nul,novote,1,2,1,1,2,3,1 3,2,1,2,9,4,4,1,0,1
206632,U15-099,2022AR15B,Valide,2,2,2,novote,2,novote,novote,novote,novote,novote,novote,4,0,4,0,0,7
206655,U15-099,2022AR15B,Valide,1,3,1,1,1,1,2,2,2,1,1,11,7,3,1,0,0
206661,U15-099,2022AR15B,Valide,4,4,4,4,4,4,4,4,4,4,4,11,0,0,0,11,0
206664,U15-001,2022AR15A,Valide,2,3,2,1,2,2,2,3,3,3,3,11,1,5,5,0,0
206672,U15-001,2022AR15A,Valide,2,novote,novote,novote,3,3,novote,novote,1,novote,novote,4,1,1,2,0,7
206684,U15-099,2022AR15B,Valide,novote,2,1,1,1,1,1,1,1,2,1,10,8,2,0,0,1
206692,U15-001,2022AR15A,Valide,1,novote,1,1,1,novote,novote,novote,novote,novote,novote,4,4,0,0,0,7
206693,U15-099,2022AR15B,Valide,1,novote,novote,novote,1,novote,novote,novote,1,novote,1,4,4,0,0,0,7
206700,U15-099,2022AR15B,Valide,1,1,novote,novote,1,novote,novote,novote,novote,novote,1,4,4,0,0,0,7
206707,U15-099,2022AR15B,Valide,1,1,1,1,2,1,2,2,2,2,2,11,5,6,0,0,0
206713,U15-099,2022AR15B,Valide,2,3,1,2,2,2,2,2,3,2,2,11,1,8,2,0,0
206729,U15-001,2022AR15A,Valide,novote,novote,2,novote,novote,2,novote,2,novote,2,novote,4,0,4,0,0,7
206732,U15-099,2022AR15B,Valide,2,2,2,novote,novote,novote,novote,novote,novote,2,novote,4,0,4,0,0,7
206737,U15-099,2022AR15B,Valide,novote,1,novote,1,novote,1,novote,novote,novote,novote,2,4,3,1,0,0,7
206755,U15-099,2022AR15B,Valide,1,1,novote,novote,1,novote,novote,novote,novote,1,1,5,5,0,0,0,6
206756,U15-001,2022AR15A,Valide,novote,novote,novote,novote,1,1,novote,novote,1,novote,1,4,4,0,0,0,7
206789,U15-099,2022AR15B,Valide,4,4,1,4,2,4,4,4,1,4,2,11,2,2,0,7,0
206796,U15-099,2022AR15B,Valide,1,2,1,1,1,2,3,1,2,1,2,11,6,4,1,0,0
206811,U15-001,2022AR15A,Valide,1,novote,1,novote,1,novote,novote,1,novote,novote,novote,4,4,0,0,0,7
206815,U15-099,2022AR15B,Valide,2,3,2,1,2,1,2,2,3,3,1,11,3,5,3,0,0
206817,U15-099,2022AR15B,Valide,novote,novote,novote,1,novote,1,4,novote,novote,1,2,5,3,1,0,1,6
206825,U15-099,2022AR15B,Valide,1,1,1,4,1,1,4,3,2,4,2,11,5,2,1,3,0
206850,U15-001,2022AR15A,Valide,1,novote,1,novote,novote,1,novote,novote,novote,novote,1,4,4,0,0,0,7
206851,U15-099,2022AR15B,Valide,4,1,1,1,4,1,1,1,3,1,4,11,7,0,1,3,0
206854,U15-099,2022AR15B,Valide,1,3,2,2,4,2,novote,2,3,novote,novote,8,1,4,2,1,3
206860,U15-099,2022AR15B,Valide,1,1,1,1,1,1,1,1,1,1,1,11,11,0,0,0,0
206870,U15-001,2022AR15A,Valide,novote,novote,1,novote,1,1,novote,novote,novote,novote,1,4,4,0,0,0,7
206876,U15-001,2022AR15A,Valide,novote,novote,novote,novote,1,1,novote,2,novote,1,novote,4,3,1,0,0,7
206883,U15-099,2022AR15B,Valide,1,2,2,2,1,2,3,2,3,2,1,11,3,6,2,0,0
206895,U15-099,2022AR15B,Valide,novote,novote,1,1,1,novote,novote,novote,4,novote,novote,4,3,0,0,1,7
206901,U15-099,2022AR15B,Nul,1 2,1 2,novote,1 2,4,1 2,1 2,1 2,4,1 2,1 2,2,0,0,0,2,1
206904,U15-001,2022AR15A,Valide,1,3,1,4,3,4,4,4,4,2,3,11,2,1,3,5,0
206910,U15-001,2022AR15A,Nul,2,1,novote,novote,3,1 2,novote,novote,4,novote,novote,4,1,1,1,1,6
206914,U15-099,2022AR15B,Valide,1,2,4,4,4,1,1,1,2,4,4,11,4,2,0,5,0
206919,U15-001,2022AR15A,Valide,1,novote,1,novote,novote,1,2,novote,novote,novote,1,5,4,1,0,0,6
206920,U15-099,2022AR15B,Valide,3,4,3,1,2,1,2,4,4,4,3,11,2,2,3,4,0
206925,U15-001,2022AR15A,Valide,1,novote,novote,1,novote,1,novote,novote,1,novote,novote,4,4,0,0,0,7
206935,U15-099,2022AR15B,Valide,novote,novote,novote,novote,1,1,novote,novote,novote,1,1,4,4,0,0,0,7
206940,U15-099,2022AR15B,Valide,novote,1,novote,novote,1,1,novote,novote,novote,1,novote,4,4,0,0,0,7
206958,U15-099,2022AR15B,Valide,2,1,novote,1,1,3,4,3,2,1,2,10,4,3,2,1,1
206967,U15-001,2022AR15A,Valide,2,2,4,2,2,2,4,4,1,2,2,11,1,7,0,3,0
206975,U15-099,2022AR15B,Valide,2,4,2,4,1,2,4,4,2,4,3,11,1,4,1,5,0
206983,U15-099,2022AR15B,Valide,novote,novote,novote,1,1,1,novote,novote,novote,novote,1,4,4,0,0,0,7
